GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
02013000100,140,02,013,99999,999,,,Census Tract 1,3141,747,2697,724,3141,2697
02016000100,140,02,016,99999,999,,,Census Tract 1,1185,823,1182,1245,1185,1182
02016000200,140,02,016,99999,999,,,Census Tract 2,4376,1106,4283,989,4376,4283
02020000101,140,02,020,11260,999,,,Census Tract 1.01,5736,2048,4835,1684,5736,4835
02020000102,140,02,020,11260,999,,,Census Tract 1.02,5259,2137,4472,1647,5259,4472
02020000201,140,02,020,11260,999,,,Census Tract 2.01,4110,1593,3060,1150,4110,3060
02020000202,140,02,020,11260,999,,,Census Tract 2.02,5947,2205,5924,2049,5947,5924
02020000203,140,02,020,11260,999,,,Census Tract 2.03,10549,3518,9165,2927,10549,9165
02020000204,140,02,020,11260,999,,,Census Tract 2.04,3381,1124,2461,770,3381,2461
02020000300,140,02,020,11260,999,,,Census Tract 3,8000,1845,5470,1397,8000,5470
02020000400,140,02,020,11260,999,,,Census Tract 4,5937,1455,6626,1674,5937,6626
02020000500,140,02,020,11260,999,,,Census Tract 5,1988,999,1948,981,1988,1948
02020000600,140,02,020,11260,999,,,Census Tract 6,7747,2530,6727,2574,7747,6727
02020000701,140,02,020,11260,999,,,Census Tract 7.01,5949,2234,4356,1646,5949,4356
02020000702,140,02,020,11260,999,,,Census Tract 7.02,5107,1925,4432,1753,5107,4432
02020000703,140,02,020,11260,999,,,Census Tract 7.03,5706,2255,4922,2042,5706,4922
02020000801,140,02,020,11260,999,,,Census Tract 8.01,7323,2593,6404,2557,7323,6404
02020000802,140,02,020,11260,999,,,Census Tract 8.02,4407,1917,4084,1841,4407,4084
02020000901,140,02,020,11260,999,,,Census Tract 9.01,4906,1650,4128,1583,4906,4128
02020000902,140,02,020,11260,999,,,Census Tract 9.02,3141,1525,3029,1530,3141,3029
02020001000,140,02,020,11260,999,,,Census Tract 10,4131,2330,3404,1896,4131,3404
02020001100,140,02,020,11260,999,,,Census Tract 11,940,510,1458,453,940,1458
02020001200,140,02,020,11260,999,,,Census Tract 12,3718,2066,3907,2118,3718,3907
02020001300,140,02,020,11260,999,,,Census Tract 13,3059,1282,3255,1273,3059,3255
02020001400,140,02,020,11260,999,,,Census Tract 14,5224,2736,5083,2641,5224,5083
02020001500,140,02,020,11260,999,,,Census Tract 15,5104,2112,5275,2099,5104,5275
02020001601,140,02,020,11260,999,,,Census Tract 16.01,4092,1542,3701,1394,4092,3701
02020001602,140,02,020,11260,999,,,Census Tract 16.02,4224,1533,4633,1556,4224,4633
02020001701,140,02,020,11260,999,,,Census Tract 17.01,6843,2810,6553,2602,6843,6553
02020001702,140,02,020,11260,999,,,Census Tract 17.02,5258,2015,5198,1916,5258,5198
02020001731,140,02,020,11260,999,,,Census Tract 17.31,5823,2233,5354,2006,5823,5354
02020001732,140,02,020,11260,999,,,Census Tract 17.32,6179,2169,6146,2040,6179,6146
02020001801,140,02,020,11260,999,,,Census Tract 18.01,4907,2162,3919,1715,4907,3919
02020001802,140,02,020,11260,999,,,Census Tract 18.02,5537,2282,4324,1911,5537,4324
02020001900,140,02,020,11260,999,,,Census Tract 19,4194,1825,4181,1888,4194,4181
02020002000,140,02,020,11260,999,,,Census Tract 20,3748,1632,3423,1580,3748,3423
02020002100,140,02,020,11260,999,,,Census Tract 21,3787,1891,3761,1846,3787,3761
02020002201,140,02,020,11260,999,,,Census Tract 22.01,5053,1977,4874,1805,5053,4874
02020002202,140,02,020,11260,999,,,Census Tract 22.02,2960,1462,3049,1413,2960,3049
02020002301,140,02,020,11260,999,,,Census Tract 23.01,7088,2518,5394,1887,7088,5394
02020002302,140,02,020,11260,999,,,Census Tract 23.02,4791,1889,4737,1854,4791,4737
02020002303,140,02,020,11260,999,,,Census Tract 23.03,9273,3451,8495,3064,9273,8495
02020002400,140,02,020,11260,999,,,Census Tract 24,3299,1319,2917,1238,3299,2917
02020002501,140,02,020,11260,999,,,Census Tract 25.01,4993,1995,4926,1925,4993,4926
02020002502,140,02,020,11260,999,,,Census Tract 25.02,5236,2437,4319,2074,5236,4319
02020002601,140,02,020,11260,999,,,Census Tract 26.01,4784,1746,3540,1380,4784,3540
02020002602,140,02,020,11260,999,,,Census Tract 26.02,5805,2063,4734,1627,5805,4734
02020002603,140,02,020,11260,999,,,Census Tract 26.03,6341,2147,5598,1907,6341,5598
02020002702,140,02,020,11260,999,,,Census Tract 27.02,9670,3602,8612,3079,9670,8612
02020002711,140,02,020,11260,999,,,Census Tract 27.11,6589,2497,5804,2110,6589,5804
02020002712,140,02,020,11260,999,,,Census Tract 27.12,9068,3430,6893,2561,9068,6893
02020002811,140,02,020,11260,999,,,Census Tract 28.11,6313,2690,5790,2442,6313,5790
02020002812,140,02,020,11260,999,,,Census Tract 28.12,7166,2488,6000,2025,7166,6000
02020002813,140,02,020,11260,999,,,Census Tract 28.13,4579,1729,4574,1572,4579,4574
02020002821,140,02,020,11260,999,,,Census Tract 28.21,5050,1666,4875,1546,5050,4875
02020002822,140,02,020,11260,999,,,Census Tract 28.22,4020,1480,4020,1359,4020,4020
02020002823,140,02,020,11260,999,,,Census Tract 28.23,5217,1904,3423,1265,5217,3423
02020002900,140,02,020,11260,999,,,Census Tract 29,2570,1859,2091,1496,2570,2091
02050000100,140,02,050,99999,999,,,Census Tract 1,9483,2805,8953,2490,9483,8953
02050000200,140,02,050,99999,999,,,Census Tract 2,6080,2390,5471,2016,6080,5471
